Date,Adj Close,Close,High,Low,Open,Volume
2010-05-27,7409599.0,9720000.0,10305600.0,9720000.0,10201600.0,3
2010-05-28,7546204.0,9899200.0,10144000.0,9654400.0,9694400.0,3
2010-06-01,7763310.5,10184000.0,10198400.0,9475200.0,9988800.0,2
2010-06-02,7212010.5,9460800.0,10195200.0,9422400.0,9992000.0,2
2010-06-03,6996123.5,9177600.0,9534400.0,9128000.0,9371200.0,3
2010-06-04,7698666.5,10099200.0,10200000.0,9403200.0,9753600.0,5
2010-06-07,8123118.0,10656000.0,10680000.0,9873600.0,9939200.0,3
2010-06-08,8162146.5,10707200.0,11148800.0,10518400.0,10590400.0,5
2010-06-09,8380470.0,10993600.0,11076800.0,10206400.0,10512000.0,4
2010-06-10,7647439.5,10032000.0,10672000.0,10011200.0,10571200.0,4
2010-06-11,7446191.0,9768000.0,10350400.0,9734400.0,10340800.0,4
2010-06-14,7464484.5,9792000.0,9808000.0,9288000.0,9489600.0,2
2010-06-15,6855862.0,8993600.0,9638400.0,8945600.0,9619200.0,3
2010-06-16,6747311.5,8851200.0,9094400.0,8736000.0,9046400.0,3
2010-06-17,6661933.5,8739200.0,9009600.0,8704000.0,8729600.0,2
2010-06-18,6658273.5,8734400.0,8825600.0,8568000.0,8715200.0,1
2010-06-21,6831468.5,8961600.0,9120000.0,8387200.0,8425600.0,4
2010-06-22,6997345.5,9179200.0,9232000.0,8673600.0,8868800.0,4
2010-06-23,7081505.5,9289600.0,9515200.0,9062400.0,9150400.0,3
2010-06-24,7441313.5,9761600.0,9800000.0,9340800.0,9419200.0,3
2010-06-25,7433993.5,9752000.0,9968000.0,9528000.0,9638400.0,2
2010-06-28,7519375.5,9864000.0,10064000.0,9600000.0,9752000.0,2
2010-06-29,8351200.0,10955200.0,11214400.0,10294400.0,10323200.0,5
2010-06-30,8761014.0,11492800.0,11576000.0,10784000.0,11115200.0,4
2010-07-01,8843954.0,11601600.0,12265600.0,11318400.0,11417600.0,6
2010-07-02,8917134.0,11697600.0,12020800.0,11427200.0,11553600.0,3
2010-07-06,8834194.0,11588800.0,11881600.0,10963200.0,11198400.0,4
2010-07-07,7998709.5,10492800.0,11504000.0,10454400.0,11478400.0,3
2010-07-08,7879179.0,10336000.0,10686400.0,10184000.0,10244800.0,3
2010-07-09,7629144.5,10008000.0,10712000.0,10008000.0,10334400.0,2
2010-07-12,7563281.5,9921600.0,10132800.0,9753600.0,10036800.0,2
2010-07-13,7303487.0,9580800.0,9894400.0,9438400.0,9670400.0,2
2010-07-14,7159563.5,9392000.0,9609600.0,9251200.0,9507200.0,2
2010-07-15,7121754.0,9342400.0,9745600.0,9289600.0,9465600.0,2
2010-07-16,7695008.0,10094400.0,10176000.0,9440000.0,9489600.0,4
2010-07-19,7538888.0,9889600.0,10308800.0,9824000.0,10052800.0,4
2010-07-20,7251039.0,9512000.0,10452800.0,9512000.0,10366400.0,3
2010-07-21,7547425.0,9900800.0,9964800.0,9216000.0,9228800.0,3
2010-07-22,7035156.0,9228800.0,9516800.0,9035200.0,9513600.0,2
2010-07-23,6852203.5,8988800.0,9403200.0,8969600.0,9345600.0,3
2010-07-26,6696082.0,8784000.0,9080000.0,8760000.0,8960000.0,1
2010-07-27,6677788.0,8760000.0,8897600.0,8620800.0,8641600.0,2
2010-07-28,6827809.0,8956800.0,9081600.0,8692800.0,8812800.0,1
2010-07-29,7002224.5,9185600.0,9452800.0,8787200.0,8843200.0,3
2010-07-30,6949777.0,9116800.0,9577600.0,8960000.0,9412800.0,4
2010-08-02,6574114.0,8624000.0,8891200.0,8547200.0,8796800.0,3
2010-08-03,6653395.0,8728000.0,8841600.0,8619200.0,8644800.0,2
2010-08-04,6459464.0,8473600.0,8708800.0,8433600.0,8598400.0,1
2010-08-05,6483857.5,8505600.0,8680000.0,8478400.0,8585600.0,1
2010-08-06,6513130.0,8544000.0,8937600.0,8489600.0,8806400.0,2
2010-08-09,6547280.0,8588800.0,8588800.0,8320000.0,8428800.0,1
2010-08-10,6527767.5,8563200.0,8800000.0,8460800.0,8590400.0,2
2010-08-11,7071748.5,9276800.0,9395200.0,9019200.0,9033600.0,2
2010-08-12,7247382.0,9507200.0,9880000.0,9401600.0,9820800.0,3
2010-08-13,7412039.5,9723200.0,9723200.0,9507200.0,9625600.0,1
2010-08-16,7368131.5,9665600.0,9993600.0,9468800.0,9875200.0,2
2010-08-17,7071748.5,9276800.0,9510400.0,9040000.0,9470400.0,2
2010-08-18,6988809.0,9168000.0,9449600.0,9016000.0,9356800.0,1
2010-08-19,7294950.0,9569600.0,9782400.0,9248000.0,9344000.0,3
2010-08-20,7302267.0,9579200.0,9800000.0,9507200.0,9633600.0,2
2010-08-23,7505956.5,9846400.0,9849600.0,9297600.0,9358400.0,2
2010-08-24,7923086.5,10393600.0,10512000.0,10083200.0,10163200.0,3
2010-08-25,7709645.0,10113600.0,10656000.0,9961600.0,10603200.0,3
2010-08-26,7976754.0,10464000.0,10480000.0,9920000.0,9984000.0,3
2010-08-27,7651098.0,10036800.0,10878400.0,10012800.0,10235200.0,4
2010-08-30,7892595.5,10353600.0,10392000.0,9953600.0,10222400.0,2
2010-08-31,7973096.5,10459200.0,10686400.0,10232000.0,10560000.0,3
2010-09-01,7294950.0,9569600.0,10051200.0,9454400.0,10041600.0,3
2010-09-02,7059548.5,9260800.0,9576000.0,9220800.0,9520000.0,2
2010-09-03,6696082.0,8784000.0,9046400.0,8752000.0,8947200.0,3
2010-09-07,6818053.5,8944000.0,8990400.0,8761600.0,8876800.0,1
2010-09-08,6577773.5,8628800.0,8870400.0,8512000.0,8870400.0,2
2010-09-09,6499712.5,8526400.0,8579200.0,8376000.0,8400000.0,2
2010-09-10,6439948.0,8448000.0,8620800.0,8400000.0,8497600.0,2
2010-09-13,6146005.0,8062400.0,8238400.0,8011200.0,8238400.0,2
2010-09-14,6080142.0,7976000.0,8150400.0,7843200.0,8102400.0,2
2010-09-15,5964270.5,7824000.0,8092800.0,7790400.0,8035200.0,2
2010-09-16,5884991.5,7720000.0,7916800.0,7704000.0,7857600.0,2
2010-09-17,5816689.0,7630400.0,7752000.0,7572800.0,7580800.0,2
2010-09-20,5520305.0,7241600.0,7579200.0,7195200.0,7560000.0,4
2010-09-21,5547137.5,7276800.0,7340800.0,7096000.0,7232000.0,3
2010-09-22,5555676.0,7288000.0,7416000.0,7158400.0,7344000.0,3
2010-09-23,5569092.0,7305600.0,7468800.0,7092800.0,7452800.0,4
2010-09-24,5250753.5,6888000.0,7096000.0,6857600.0,7072000.0,4
2010-09-27,5315396.5,6972800.0,6988800.0,6824000.0,6852800.0,3
2010-09-28,5294661.5,6945600.0,7310400.0,6910400.0,6924800.0,4
2010-09-29,5336131.5,7000000.0,7092800.0,6916800.0,7016000.0,3
2010-09-30,5415410.0,7104000.0,7243200.0,6779200.0,6904000.0,7
2010-10-01,5426388.5,7118400.0,7236800.0,6912000.0,6936000.0,3
2010-10-04,5623978.5,7377600.0,7481600.0,7120000.0,7193600.0,4
2010-10-05,5204405.0,6827200.0,7123200.0,6785600.0,7123200.0,6
2010-10-06,5317835.5,6976000.0,7124800.0,6808000.0,6852800.0,5
2010-10-07,5284904.5,6932800.0,7086400.0,6860800.0,6860800.0,3
2010-10-08,5155618.5,6763200.0,7059200.0,6729600.0,6907200.0,5
2010-10-11,5164156.5,6774400.0,6835200.0,6672000.0,6766400.0,3
